symbol,scientific_name,author
NOTOC,Notocactus (K.M. Schum.) Backeb. & F.M. Knuth,Knuth
ECBO3,Echinocereus fendleri (Engelm.) Sencke ex J.N. Haage var. boyce-thompsonii (Orcutt) L.D. Benson,Benson
SCGL3,Sclerocactus whipplei (Engelm. & J. M. Bigelow) Britton & Rose var. glaucus (J.A. Purpus ex K. Schum.) S.L. Welsh,Welsh
CORA7,Mammillaria ramillosa (Cutak) Weiniger,Weiniger
CORRY,Corryocactus Britton & Rose,Rose
MAPRT,Mammillaria prolifera (Mill.) Haw. ssp. texana (Engelm.) D.R. Hunt,Hunt
OPGO,Opuntia violacea Engelm. var. gosseliniana (F.A.C. Weber) L.D. Benson,Benson
MAWRW2,"Mammillaria meridiorosei Castetter, Pierce & Schwerin",Schwerin
FEEM,Ferocactus covillei Britton & Rose,Rose
THELO,Thelocactus (K. Schum.) Britton & Rose,Rose
SCSI3,Sclerocactus pubispinus (Engelm.) L.D. Benson var. sileri L.D. Benson,Benson
OPDE,Opuntia ×demissa Griffiths (pro sp.),pro sp.
SECO16,Cereus grandiflorus (L.) Mill. var. armatus (K. Schum.) L.D. Benson,Benson
ECST2,Echinocereus enneacanthus Engelm. var. stramineus (Engelm.) L.D. Benson,Benson
OPMAM2,Opuntia macrocentra Engelm. var. minor Anthony,Anthony
PACO56,Notocactus tabularis (Monv.) N.P. Taylor,Taylor
MAME6,Mammillaria heyderi Muehlenpf. ssp. meiacantha (Engelm.) D.R. Hunt,Hunt
OPPI3,Opuntia basilaris Engelm. & J.M. Bigelow var. woodburyi W.H. Earle,Earle
MATH,Mammillaria thornberi Orcutt,Orcutt
SCPA10,Toumeya papyracantha (Engelm.) Britton & Rose,Rose
ESMI3,Neobesseya wissmannii (Hildmann ex K. Schum.) Britton & Rose,Rose
ESSA,"Escobaria sandbergii Castetter, Pierce & Schwerin",Schwerin
HASI,Cereus gracilis Mill. var. simpsonii (Small) L.D. Benson,Benson
OPPOE,Opuntia ursina F.A.C. Weber,Weber
BERGE,Bergerocactus Britton & Rose,Rose
ESDAC,Escobaria dasyacantha (Engelm.) Britton & Rose ssp. chaffeyi (Britton & Rose) N.P. Taylor,Taylor
LEPTO7,Leptocereus (A. Berger) Britton & Rose,Rose
FEEA2,Ferocactus cylindraceus (Engelm.) Orcutt var. eastwoodiae (L.D. Benson) N.P. Taylor,Taylor
GLUN,Sclerocactus uncinatus (Galeotti) N.P. Taylor,Taylor
OPDI3,Opuntia zebrina Small,Small
HYLOC,Hylocereus (A. Berger) Britton & Rose,Rose
OPENC,Opuntia lindheimeri Engelm. var. cuija (Griffiths & Hare) L.D. Benson,Benson
MAHEB,"Mammillaria heyderi Muehlenpf. var. bullingtoniana Castetter, Pierce & Schwerin",Schwerin
MANI3,Neomammillaria nivosa (Link ex N.E. Pfeiffer) Britton & Rose,Rose
LOWI,Lophophora williamsii (Lem. ex Salm-Dyck) J.M. Coult. var. echinata (Croizat) H. Bravo,Bravo
OPBAB2,Opuntia whitneyana E.M. Baxter var. albiflora E.M. Baxter,Baxter
PEWI2,Pediocactus winkleri K.D. Heil,Heil
STTH3,Pachycereus thurberi (Engelm.) H. Bravo,Bravo
CYLIN2,Cylindropuntia (Engelm.) Kreuzinger,Kreuzinger
OPAM,Opuntia turgida Small,Small
ECTE,Homalocephala texensis (Hopffer) Britton & Rose,Rose
ESVIR2,Coryphantha vivipara (Nutt.) Britton & Rose var. rosea (Clokey) L.D. Benson,Benson
THBIB,Thelocactus bicolor (Galeotti ex N.E. Pfeiffer) Britton & Rose var. schottii (Engelm.) Krainz,Krainz
OPCU2,Opuntia ×curvospina Griffiths (pro sp.),pro sp.
ECFER4,Echinocereus rectispinus Peebles,Peebles
CYMU12,Opuntia munzii C.B. Wolf,Wolf
ECPO6,Echinocereus triglochidiatus Engelm. var. polyacanthus (Engelm.) L.D. Benson,Benson
ECDA,Echinocereus pectinatus (Scheidw.) Engelm. var. neomexicanus (J.M. Coult.) L.D. Benson,Benson
ECTU4,Echinopsis turbinata Zuccagni,Zuccagni
PEKN2,Pediocactus knowltonii L.D. Benson,Benson
ESSNS,Mammillaria sneedii (Britton & Rose) Cory,Cory
ESTU,Escobaria tuberculosa (Engelm.) Britton & Rose,Rose
ECENH,Echinocereus engelmannii (Parry ex Engelm.) Lem. var. howei L.D. Benson,Benson
FEHAS,Ferocactus hamatacanthus (Muehlenpf.) Britton & Rose ssp. sinuatus (A. Dietr.) N.P. Taylor,Taylor
ESGU,Escobaria guadalupensis Brack & K.D. Heil,Heil
ECVIC2,Echinocereus viridiflorus Engelm. ssp. cylindricus (Engelm.) N.P. Taylor,Taylor
EPBO,Epithelantha micromeris (Engelm.) F.A.C. Weber ex Britton & Rose var. bokei (L.D. Benson) Glass & R.A. Foster,Foster
ECENE2,Echinocereus enneacanthus Engelm. var. dubius (Engelm.) L.D. Benson,Benson
SCPAP,Sclerocactus whipplei (Engelm. & J.M. Bigelow) Britton & Rose var. roseus (Clover) L.D. Benson,Benson
GRPA11,Opuntia stanlyi Engelm. var. parishii (Orcutt) L.D. Benson,Benson
ESORM,"Escobaria orcuttii Boed. var. macraxima Castetter, Pierce & Schwerin",Schwerin
ESOR2,Coryphantha organensis A.D. Zimmerman,Zimmerman
OPPOH,Opuntia hystricina Engelm. & J.M. Bigelow,Bigelow
ESVI,"Escobaria villardii Castetter, Pierce & Schwerin",Schwerin
OPLIL3,Opuntia occidentalis Engelm. & J.M. Bigelow var. littoralis (Engelm.) Parish,Parish
CYEC3,Opuntia wigginsii L.D. Benson,Benson
ESMI2,Mammillaria nellieae (Croizat) Croizat,Croizat
OPSP7,Opuntia phaeacantha Engelm. var. spinosibacca (Anthony) L.D. Benson,Benson
ESVIA,Mammillaria vivipara (Nutt.) Haw. var. arizonica (Engelm.) L.D. Benson,Benson
PESI4,Pediocactus sileri (Engelm. ex J.M. Coult.) L.D. Benson,Benson
COMAR2,Mammillaria runyonii (Britton & Rose) Cory,Cory
LEGR6,Cereus grantianus (Britton) Kelsey & Dayton,Dayton
HAGA,Schlumbergera gaertneri (Regel) Britton & Rose,Rose
HAFR3,Cereus eriophorus N.E. Pfeiffer & Otto var. fragrans (Small ex Britton & Rose) L.D. Benson,Benson
OPBAB,Opuntia brachyclada Griffiths,Griffiths
PENIO,Peniocereus (A. Berger) Britton & Rose,Rose
COOC11,Coryphantha muehlenpfordtii (Poselg.) Britton & Rose,Rose
OPCH3,Opuntia chihuahuensis Rose,Rose
ESAL2,Mammillaria alversonii (J.M. Coult.) J.M. Coult. ex Zeissold,Zeissold
CYVI16,Opuntia whipplei Engelm. & J.M. Bigelow var. viridiflora (Britton & Rose) L.D. Benson,Benson
ECBEB2,Echinocereus blanckii (Poselg.) hort. ex Palmer,Palmer
FECYC,Ferocactus acanthodes (Lem.) Britton & Rose,Rose
MADI3,Mammillaria dioica K. Brandegee var. incerta (Parish) Munz,Munz
HAHA9,Hamatocactus hamatocanthus (Muhlph.) F.M. Kunth,Kunth
PEGR3,Peniocereus greggii (Engelm.) Britton & Rose,Rose
OPCO13,Opuntia erinacea Engelm. & J.M. Bigelow ex Engelm. var. columbiana (Griffiths) L.D. Benson,Benson
CYACT,Opuntia thornberi Thornb. & Bonker,Bonker
EPMA2,Epiphyllum macropterum (Lem.) Britton & Rose,Rose
WIGGI,Wigginsia D.M. Porter,Porter
LOBIV,Lobivia Britton & Rose,Rose
ECVIN,Echinocereus viridiflorus Engelm. var. neocapillus (D. Weniger) A.D. Zimmerman,Zimmerman
LOCA18,Lobivia caespitosa (J.A. Purpus) Britton & Rose,Rose
ECCOG,Echinocereus triglochidiatus Engelm. var. gurneyi L.D. Benson,Benson
HAER4,Harrisia eriophora (N.E. Pfeiffer) Britton,Britton
LOFA2,Lobivia famatinensis (Speg.) Britton & Rose,Rose
MAWRW,Mammillaria wrightii Engelm. ssp. wilcoxii (Toumey ex K. Schum.) D.R. Hunt,Hunt
ECLE2,Echinocereus fendleri (Engelm.) Sencke ex J.N. Haage var. ledingii (Peebles) N.P. Taylor,Taylor
OPRE2,Opuntia repens Bello,Bello
GRKU,Opuntia wrightiana E.M. Baxter,Baxter
OPTR,Opuntia abjecta Small,Small
STFI5,Stenocereus hystrix (Haw.) Buxbaum,Buxbaum
CONA5,Opuntia nashii Britton,Britton
OPPOP,Opuntia trichophora (Engelm. & J.M. Bigelow) Britton & Rose,Rose
ECMA2,Sclerocactus mariposensis (Hester) N.P. Taylor,Taylor
HAAB2,Cereus gracilis Mill. var. aboriginus (Small) L.D. Benson,Benson
ECCOP,Echinocereus triglochidiatus Engelm. var. paucispinus (Engelm.) W.T. Marshall,Marshall
PILOS2,Pilosocereus Byles & Rowley,Rowley
ECENA,Echinocereus engelmannii (Parry ex Engelm.) Lem. var. acicularis L.D. Benson,Benson
OPMI4,Opuntia microdasys (Lehm.) N.E. Pfeiffer,Pfeiffer
OPTE2,Opuntia tenuiflora Small,Small
OPLIA,Opuntia littoralis (Engelm.) Cockerell var. austrocalifornica L.D. Benson & Walkington,Walkington
ECHIN2,Echinocactus Link & Otto,Otto
CYTE15,Opuntia ×tetracantha Toumey (pro sp.),pro sp.
ACANT6,Acanthocereus (Engelm. ex A. Berger) Britton & Rose,Rose
ECER2,Sclerocactus erectocentrus (J.M. Coult.) N.P. Taylor,Taylor
SCPAT,Sclerocactus terrae-canyonae K.D. Heil,Heil
ECBR2,Eccremocactus bradei Britton & Rose,Rose
SCPA9,Sclerocactus parviflorus Clover & Jotter,Jotter
ECPO4,Wilcoxia poselgeri (Lem.) Britton & Rose,Rose
CYCO21,Opuntia ×congesta Griffiths (pro sp.),pro sp.
OPBAL,Opuntia longiareolata Clover & Jotter,Jotter
ECCOA,Echinocereus triglochidiatus Engelm. var. neomexicanus auct. non (Standl.) W.T. Marshall,Marshall
HYCO17,Hylocereus costaricensis (F.A.C. Weber) Britton & Rose,Rose
CYDE17,Opuntia ×deserta Griffiths (pro sp.),pro sp.
PEDE17,Pediocactus despainii S.L. Welsh & Goodrich,Goodrich
EPITH,Epithelantha F.A.C. Weber ex Britton & Rose,Rose
OPAU2,Opuntia erinacea Engelm. & J.M. Bigelow ex Engelm. var. aurea (E.M. Baxter) S.L. Welsh,Welsh
ECRO3,Echinopsis rojasii Cardenas,Cardenas
PEPA5,Pediocactus paradinei B.W. Benson,Benson
ECCH2,Echinocereus reichenbachii (Terscheck ex Walp.) hort ex Haage var. chisoensis (W.T. Marshall) L.D. Benson,Benson
MAHEH,Mammillaria heyderi Muehlenpf. ssp. hemisphaerica (Engelm.) D.R. Hunt,Hunt
ECVIC7,Echinocereus viridiflorus Engelm. var. canus A.M. Powell & Weedin,Weedin
FECY,Ferocactus cylindraceus (Engelm.) Orcutt,Orcutt
SELEN2,Selenicereus (A. Berger) Britton & Rose,Rose
MAHEM,Mammillaria macdougalii Rose,Rose
ECHON,Echinocactus horizonthalonius Lem. var. nicholii L.D. Benson,Benson
ANTO3,Sclerocactus brevihamatus (Engelm.) D.R. Hunt ssp. tobuschii (W.T. Marshall) N.P. Taylor,Taylor
ESORO,Coryphantha strobiliformis (Poselg.) Moran var. orcuttii (Boed.) L.D. Benson,Benson
HAGR13,Harrisia donae-antoniae M.L. Hooten,Hooten
ECBO2,Echinocereus fendleri (Engelm.) Sencke ex J.N. Haage var. bonkerae (Thornb. & Bonker) L.D. Benson,Benson
CYWH,Opuntia whipplei Engelm. & J.M. Bigelow,Bigelow
ECFEF3,"Echinocereus kuenzleri Castetter, Pierce & Schwerin",Schwerin
OPVA3,Opuntia valida Griffiths,Griffiths
OPPU2,Opuntia tracyi Britton,Britton
MELOC2,Melocactus Link & Otto,Otto
GRUSO,Grusonia Rchb. ex Britton & Rose,Rose
ANSC,Sclerocactus scheeri (Salm-Dyck) N.P. Taylor,Taylor
MASP3,Mammillaria longimamma DC. var. sphaerica (A. Dietr.) K. Brandegee,Brandegee
OPENE,Opuntia tricolor Griffiths,Griffiths
PESIM,Pediocactus simpsonii (Engelm.) Britton & Rose var. minor (Engelm.) Cockerell,Cockerell
ECCA6,Trichocereus candicans (Gillies ex Salm-Dyck) Britton & Rose,Rose
SCLER10,Sclerocactus Britton & Rose,Rose
OPCA7,Opuntia camanchica Engelm. & J.M. Bigelow,Bigelow
GRGR6,Opuntia schottii Engelm. var. grahamii (Engelm.) L.D. Benson,Benson
CYGA5,Opuntia ganderi (C.B. Wolf) J. Rebman & Pinkava,Pinkava
ECENM,Echinocereus munzii (Parish) L.D. Benson,Benson
HAPO6,Harrisia bonplandii (Parmentier) Britton & Rose,Rose
ECMO,Echinocereus triglochidiatus Engelm. var. mojavensis (Engelm. & J.M. Bigelow) L.D. Benson,Benson
OPED,Opuntia edwardsii V.E. Grant & K.A. Grant,Grant
LOAR11,Lobivia arachnacantha Buining & F. Ritter,Ritter
CYVI17,Opuntia ×vivipara Rose (pro sp.),pro sp.
OPAU3,Opuntia polycarpa Small,Small
OPOR,Opuntia oricola Philbrick,Philbrick
CYFO4,Opuntia fosbergii C.B. Wolf,Wolf
OPENF2,Opuntia strigil Engelm. var. flexospina (Griffiths) L.D. Benson,Benson
OPBO,Opuntia borinquensis Britton & Rose,Rose
MAMA6,Mammillaria mainiae K. Brandegee,Brandegee
OPCY,Opuntia cymochila Engelm. & J.M. Bigelow,Bigelow
MAMA38,Mammillaria matudae Bravo,Bravo
MAGR9,Mammillaria oliviae Orcutt,Orcutt
ECHIN11,Echinopsis Zuccagni,Zuccagni
SCSPB,Sclerocactus schlesseri K.D. Heil & S.L. Welsh,Welsh
ECAP,Echinocereus apachensis Blum & Rutow,Rutow
PASC14,Lophocereus schottii (Engelm.) Britton & Rose,Rose
THBIF,Thelocactus bicolor (Galeotti ex N.E. Pfeiffer) Britton & Rose ssp. flavidispinus (Backeb.) N.P. Taylor,Taylor
CYACC2,Opuntia acanthocarpa Engelm. & J.M. Bigelow var. coloradensis L.D. Benson,Benson
ESDA,Escobaria dasyacantha (Engelm.) Britton & Rose,Rose
ECFE,Echinocereus fendleri (Engelm.) Sencke ex J.N. Haage,Haage
ESCOB,Escobaria Britton & Rose,Rose
OPMAM,Opuntia violacea Engelm. var. macrocentra (Engelm.) L.D. Benson,Benson
PEDIO,Pediocactus Britton & Rose,Rose
HARRI2,Harrisia Britton,Britton
LOLA10,Lobivia lateritia (Guerke) Britton & Rose,Rose
ECVIC,Echinocereus viridiflorus Engelm. ssp. correllii (L.D. Benson) W. Blum & Mich. Lange,Lange
ESSN,Escobaria sneedii Britton & Rose,Rose
OPENL,Opuntia lindheimeri Engelm. var. lehmannii L.D. Benson,Benson
HAMAT3,Hamatocactus Britton & Rose,Rose
MAPA26,Mammillaria painteri Rose,Rose
ANCIS,Ancistrocactus (K. Schum.) Britton & Rose,Rose
ECENA2,Echinocereus engelmannii (Parry ex Engelm.) Lem. var. armatus L.D. Benson,Benson
ECPA8,Trichocereus pasacanus (F.A.C. Weber) Friedrich & G.D. Rowley,Rowley
OPCU,Opuntia ochrocentra Small,Small
FEVI2,Echinocactus viridescens Torr. & A. Gray,Gray
ECRON,Echinocereus ×roetteri (Engelm.) Rumpler  ×neomexicanus (J.M. Coult.) A.D. Zimmerman,Zimmerman
CYIM2,Cylindropuntia imbricata (Haw.) F.M. Knuth,Knuth
OPTU3,Opuntia turbinata Small,Small
SCSP2,Sclerocactus spinosior (Engelm.) Woodruff & L.D. Benson,Benson
OPBA2,Opuntia basilaris Engelm. & J.M. Bigelow,Bigelow
CONI16,Mammillaria nickelsiae K. Brandegee,Brandegee
CYAB2,Opuntia abysii Hester,Hester
OPENL2,Opuntia lindheimeri Engelm. var. linguiformis (Griffiths) L.D. Benson,Benson
ECHIN13,Echinomastus Britton & Rose,Rose
SCBR12,Sclerocactus whipplei (Engelm. & J. M. Bigelow) Britton & Rose var. ilseae (Hochstätter) S. L. Welsh,Welsh
CORO7,Coryphantha robustispina (Schott ex Engelm.) Britton & Rose,Rose
ECJO3,Sclerocactus johnsonii (Parry ex Engelm.) N.P. Taylor,Taylor
ESORK,"Escobaria orcuttii Boed. var. koenigii Castetter, Pierce & Schwerin",Schwerin
CYDA4,Opuntia tunicata (Lehm.) Link & Otto var. davisii (Engelm. & J.M. Bigelow) L.D. Benson,Benson
ECRE,Echinocereus reichenbachii (Terscheck ex Walp.) hort ex Haage,Haage
OPPON,Opuntia nicholii L.D. Benson,Benson
ECNI,Echinocereus engelmannii (Parry ex Engelm.) Lem. var. nicholii L.D. Benson,Benson
SCPAI2,Sclerocactus whipplei (Engelm. & J.M. Bigelow) Britton & Rose var. intermedius (Peebles) L.D. Benson,Benson
OPCH,Opuntia chlorotica Engelm. & J.M. Bigelow,Bigelow
OPMAM3,Opuntia tortispina Engelm. & J.M. Bigelow,Bigelow
CYNE5,Opuntia ×neoarbuscula Griffiths (pro sp.),pro sp.
CYMU11,Opuntia whipplei Engelm. & J.M. Bigelow var. multigeniculata (Clokey) L.D. Benson,Benson
ECPAP2,Echinocereus berlandieri (Engelm.) Haage var. papillosus (Linke ex Rümpler) L.D. Benson,Benson
CYCA25,Cylindropuntia californica (Torr. & A. Gray) F.M. Knuth,Knuth
CYFU10,Cylindropuntia fulgida (Engelm.) F.M. Knuth,Knuth
ECPO2,Echinocactus polycephalus Engelm. & J.M. Bigelow,Bigelow
ECREB2,Echinocereus reichenbachii (Terscheck ex Walp.) hort ex Haage var. baileyi (Rose) N.P. Taylor,Taylor
ECVIW,Echinocereus viridiflorus Engelm. var. weedinii (Leuck ex W. Blum & Mich. Lange) A.D. Zimmerman,Zimmerman
OPLIP,Opuntia phaeacantha Engelm. var. piercei Fosberg,Fosberg
MEIN7,Melocactus communis (Aiton) Link & Otto,Otto
BRASI,Brasiliopuntia (K. Schum.) A. Berger,Berger
OPAU7,Opuntia macrocentra Engelm. var. aureispina Brack & K.D. Heil,Heil
ECGA,Turbinicarpus gautii (L.D. Benson) A.D. Zimmerman,Zimmerman
GRPU3,Opuntia wiegandii (Backeb.) Rowley,Rowley
CYAC8,Cylindropuntia acanthocarpa (Engelm. & J.M. Bigelow) F.M. Knuth,Knuth
GLUNW,Sclerocactus uncinatus (Galeotti) N.P. Taylor ssp. wrightii (Engelm.) N.P. Taylor,Taylor
OPMA3,Opuntia macrocentra Engelm. var. martiniana L.D. Benson,Benson
OPLI3,Opuntia littoralis (Engelm.) Cockerell,Cockerell
TRPE24,Trichocereus peruvianus Britton & Rose,Rose
ECPS,Echinocereus pectinatus (Scheidw.) Engelm. var. minor auct. non (Engelm.) L.D. Benson,Benson
LEQU,Cereus quadricostatus Bello,Bello
ECPAA2,Echinocereus blanckii (Poselg.) hort. ex Palmer var. angusticeps (Clover) L.D. Benson,Benson
SCWR,Sclerocactus wrightiae L.D. Benson,Benson
CYWO,Opuntia wolfii (L.D. Benson) M.A. Baker,Baker
SCWH,Pediocactus whipplei (Engelm. & J.M. Bigelow) Arp,Arp
SCPU6,Sclerocactus pubispinus (Engelm.) L.D. Benson,Benson
ECBE,Echinocereus berlandieri (Engelm.) Haage,Haage
ECVID,Echinocereus viridiflorus Engelm. ssp. davisii (A.D. Houghton) N.P. Taylor,Taylor
FECYL,Ferocactus lecontei (Engelm.) Britton & Rose,Rose
ECWA3,Sclerocactus warnockii (L.D. Benson) N.P. Taylor,Taylor
THBI,Thelocactus bicolor (Galeotti ex N.E. Pfeiffer) Britton & Rose,Rose
OPSA3,Opuntia sanguinea Proctor,Proctor
TRCA31,Trichocereus callianthus F. Ritter,Ritter
PEST11,Wilcoxia striata (Brandegee) Britton & Rose,Rose
HATIO,Hatiora Britton & Rose,Rose
ECVIC6,Echinocereus viridiflorus Engelm. ssp. chloranthus (Engelm.) N.P. Taylor,Taylor
CYIMA,Opuntia imbricata (Haw.) DC. var. argentea Anthony,Anthony
NEOLL,Neolloydia Britton & Rose,Rose
ECVIR,Echinocereus viridiflorus Engelm. var. russanthus (D. Weniger) A.D. Zimmerman,Zimmerman
OPSA,Opuntia violacea Engelm. var. santa-rita (Griffiths & Hare) L.D. Benson,Benson
PESI,Pediocactus simpsonii (Engelm.) Britton & Rose,Rose
FEROC,Ferocactus Britton & Rose,Rose
OPOC2,Opuntia ×occidentalis Engelm. & J.M. Bigelow (pro sp.),pro sp.
CYACM,Opuntia echinocarpa Engelm. & J.M. Bigelow var. major Engelm. & J.M. Bigelow,Bigelow
ECENB,Echinocereus enneacanthus Engelm. var. carnosus (Rümpler) Quehl,Quehl
PACHY4,Pachycereus (A. Berger) Britton & Rose,Rose
LOCO20,Lobivia corbula (Herrera) Britton & Rose,Rose
ANBRP,Ancistrocactus brevihamatus (Engelm.) Britton & Rose var. pallidus A.D. Zimmerman ex A.M. Powell,Powell
SCPAH,Sclerocactus havasupaiensis Clover,Clover
MATE4,Phellosperma tetrancistra (Engelm.) Britton & Rose,Rose
FEHA2,Ferocactus hamatacanthus (Muehlenpf.) Britton & Rose,Rose
ESVIB,Coryphantha vivipara (Nutt.) Britton & Rose var. bisbeeana (Orcutt) L.D. Benson,Benson
SCME4,Pediocactus mesae-verdae (Boissev. & C. Davidson) Arp,Arp
CYKE4,Opuntia ×kelvinensis V.E. Grant & K.A. Grant,Grant
PEBR2,Pediocactus bradyi L.D. Benson,Benson
MARH2,Mammillaria rhodantha Link & Otto,Otto
WIFR2,Wigginsia fricii (Arechav.) D.M. Porter,Porter
ASOR9,Astrophytum ornatum (DC.) Britton & Rose,Rose
OPAT,Opuntia atrispina Griffiths,Griffiths
OPCH2,Opuntia lindheimeri Engelm. var. chisosensis Anthony,Anthony
OPLA2,Opuntia phaeacantha Engelm. var. laevis (J.M. Coult.) L.D. Benson,Benson
ECPEW,Echinocereus pectinatus (Scheidw.) Engelm. ssp. wenigeri (L.D. Benson) Blum & Rutow,Rutow
ECCRE3,Eccremocactus Britton & Rose,Rose
ECREF2,Echinocereus reichenbachii (Terscheck ex Walp.) hort ex Haage var. fitchii (Britton & Rose) L.D. Benson,Benson
THSE5,Ferocactus setispinus (Engelm.) L.D. Benson,Benson
GLUNU,Thelocactus uncinatus (Galeotti) W.T. Marshall,Marshall
SCPO4,Echinocactus polyancistrus Engelm. & J.M. Bigelow,Bigelow
SEGR10,Selenicereus macdonaldiae (Hook.) Britton & Rose,Rose
CLIC2,Borzicactus icosagonus (Kunth) Britton & Rose,Rose
OPENF,Opuntia phaeacantha Engelm. var. flavispina L.D. Benson,Benson
ESRO,Cochiseia robbinsiorum W.H. Earle,Earle
ECENP,Echinocereus engelmannii (Parry ex Engelm.) Lem. var. purpureus L.D. Benson,Benson
ECREP2,Echinocereus reichenbachii (Terscheck ex Walp.) hort ex Haage var. perbellus (Britton & Rose) L.D. Benson,Benson
ESVI2,Escobaria vivipara (Nutt.) Buxbaum,Buxbaum
